date,value,type,lower_ci,upper_ci
2018-01-01,461.15,historical,,
2018-02-01,474.11,historical,,
2018-03-01,486.5,historical,,
2018-04-01,480.69,historical,,
2018-05-01,499.25,historical,,
2018-06-01,531.33,historical,,
2018-07-01,567.72,historical,,
2018-08-01,592.62,historical,,
2018-09-01,617.88,historical,,
2018-10-01,586.24,historical,,
2018-11-01,562.23,historical,,
2018-12-01,577.46,historical,,
2019-01-01,610.04,historical,,
2019-02-01,645.94,historical,,
2019-03-01,626.49,historical,,
2019-04-01,642.56,historical,,
2019-05-01,622.93,historical,,
2019-06-01,649.42,historical,,
2019-07-01,667.61,historical,,
2019-08-01,690.32,historical,,
2019-09-01,712.67,historical,,
2019-10-01,645.99,historical,,
2019-11-01,630.77,historical,,
2019-12-01,646.68,historical,,
2020-01-01,682.39,historical,,
2020-02-01,702.1,historical,,
2020-03-01,576.6,historical,,
2020-04-01,578.65,historical,,
2020-05-01,608.68,historical,,
2020-06-01,646.51,historical,,
2020-07-01,782.44,historical,,
2020-08-01,864.87,historical,,
2020-09-01,884.67,historical,,
2020-10-01,1004.87,historical,,
2020-11-01,1021.1,historical,,
2020-12-01,1088.85,historical,,
2021-01-01,1210.73,historical,,
2021-02-01,1180.19,historical,,
2021-03-01,1240.3,historical,,
2021-04-01,1268.29,historical,,
2021-05-01,1244.49,historical,,
2021-06-01,1368.93,historical,,
2021-07-01,1463.59,historical,,
2021-08-01,1575.66,historical,,
2021-09-01,1583.16,historical,,
2021-10-01,1597.77,historical,,
2021-11-01,1626.74,historical,,
2021-12-01,1682.65,historical,,
2022-01-01,1714.7,historical,,
2022-02-01,1620.96,historical,,
2022-03-01,1720.82,historical,,
2022-04-01,1587.8,historical,,
2022-05-01,1407.04,historical,,
2022-06-01,1385.94,historical,,
2022-07-01,1406.9,historical,,
2022-08-01,1484.87,historical,,
2022-09-01,1357.18,historical,,
2022-10-01,1400.59,historical,,
2022-11-01,1510.25,historical,,
2022-12-01,1488.91,historical,,
2023-01-01,1449.61,historical,,
2023-02-01,1506.46,historical,,
2023-03-01,1368.96,historical,,
2023-04-01,1255.57,historical,,
2023-05-01,1224.82,historical,,
2023-06-01,1253.49,historical,,
2023-07-01,1327.74,historical,,
2023-08-01,1358.03,historical,,
2023-09-01,1434.22,historical,,
2023-10-01,1393.49,historical,,
2023-11-01,1391.21,historical,,
2023-12-01,1488.07,historical,,
2024-01-01,1567.56,historical,,
2024-02-01,1652.66,historical,,
2024-03-01,1556.83,historical,,
2024-04-01,1432.07,historical,,
2024-05-01,1414.55,historical,,
2024-06-01,1483.46,historical,,
2024-07-01,1719.28,historical,,
2024-08-01,1822.29,historical,,
2024-09-01,1894.75,historical,,
2024-10-01,1875.02,historical,,
2024-11-01,1843.29,historical,,
2024-12-01,1935.96,historical,,
2025-01-01,1996.4640788986615,forecast,1863.6032468677681,2129.324910929555
2025-02-01,2031.6643362218636,forecast,1835.3855557984052,2227.943116645322
2025-03-01,1995.1156973473996,forecast,1744.7558143073957,2245.4755803874036
2025-04-01,1937.4801071135582,forecast,1637.7637312032466,2237.19648302387
2025-05-01,1914.5185558482417,forecast,1568.5726531975326,2260.464458498951
2025-06-01,1966.4111618749344,forecast,1576.6240372134896,2356.198286536379
2025-07-01,2088.512908227174,forecast,1656.868229700915,2520.1575867534334
2025-08-01,2163.5537562168024,forecast,1691.7840315886947,2635.32348084491
2025-09-01,2192.9360230749567,forecast,1682.601494247857,2703.2705519020565
2025-10-01,2192.376711447006,forecast,1644.9097381737533,2739.843684720259
2025-11-01,2195.9175078773933,forecast,1612.6497480695543,2779.1852676852322
2025-12-01,2253.303020936213,forecast,1635.4836231297486,2871.122418742678
